,model,displacement,J,postprocessing applied,postprocessed run names
runJS0000708,monomer,"{'1': '0.05', '2': '0.45'}",,['trim'],['runJS0000708trim']
runJS0000709,monomer,"{'1': '0.05', '2': '0.5'}",,['trim'],['runJS0000709trim']
runJS0000710,monomer,"{'1': '0.05', '2': '0.55'}",,['trim'],['runJS0000710trim']
runJS0000711,monomer,"{'1': '0.05', '2': '0.6'}",,['trim'],['runJS0000711trim']
runJS0000712,monomer,"{'1': '0.05', '2': '0.65'}",,['trim'],['runJS0000712trim']
runJS0000713,monomer,"{'1': '0.05', '2': '0.7'}",,['trim'],['runJS0000713trim']
runJS0000714,monomer,"{'1': '0.05', '2': '0.75'}",,['trim'],['runJS0000714trim']
runJS0000715,monomer,"{'1': '0.05', '2': '0.8'}",,['trim'],['runJS0000715trim']
runJS0000716,monomer,"{'1': '0.05', '2': '0.85'}",,['trim'],['runJS0000716trim']
runJS0000717,monomer,"{'1': '0.05', '2': '0.9'}",,['trim'],['runJS0000717trim']
runJS0000718,monomer,"{'1': '0.1', '2': '0'}",,['trim'],['runJS0000718trim']
runJS0000719,monomer,"{'1': '0.1', '2': '0.05'}",,['trim'],['runJS0000719trim']
runJS0000720,monomer,"{'1': '0.1', '2': '0.1'}",,['trim'],['runJS0000720trim']
runJS0000721,monomer,"{'1': '0.1', '2': '0.15'}",,['trim'],['runJS0000721trim']
runJS0000722,monomer,"{'1': '0.1', '2': '0.2'}",,['trim'],['runJS0000722trim']
runJS0000723,monomer,"{'1': '0.1', '2': '0.25'}",,['trim'],['runJS0000723trim']
runJS0000724,monomer,"{'1': '0.1', '2': '0.3'}",,['trim'],['runJS0000724trim']
runJS0000725,monomer,"{'1': '0.1', '2': '0.35'}",,['trim'],['runJS0000725trim']
runJS0000726,monomer,"{'1': '0.1', '2': '0.4'}",,['trim'],['runJS0000726trim']
runJS0000727,monomer,"{'1': '0.1', '2': '0.45'}",,['trim'],['runJS0000727trim']
runJS0000728,monomer,"{'1': '0.1', '2': '0.5'}",,['trim'],['runJS0000728trim']
runJS0000729,monomer,"{'1': '0.1', '2': '0.55'}",,['trim'],['runJS0000729trim']
runJS0000730,monomer,"{'1': '0.1', '2': '0.6'}",,['trim'],['runJS0000730trim']
runJS0000731,monomer,"{'1': '0.1', '2': '0.65'}",,['trim'],['runJS0000731trim']
runJS0000732,monomer,"{'1': '0.1', '2': '0.7'}",,['trim'],['runJS0000732trim']
runJS0000733,monomer,"{'1': '0.1', '2': '0.75'}",,['trim'],['runJS0000733trim']
runJS0000734,monomer,"{'1': '0.1', '2': '0.8'}",,['trim'],['runJS0000734trim']
runJS0000735,monomer,"{'1': '0.1', '2': '0.85'}",,['trim'],['runJS0000735trim']
runJS0000736,monomer,"{'1': '0.1', '2': '0.9'}",,['trim'],['runJS0000736trim']
runJS0000737,monomer,"{'1': '0.15', '2': '0'}",,['trim'],['runJS0000737trim']
runJS0000738,monomer,"{'1': '0.15', '2': '0.05'}",,['trim'],['runJS0000738trim']
runJS0000739,monomer,"{'1': '0.15', '2': '0.1'}",,['trim'],['runJS0000739trim']
runJS0000740,monomer,"{'1': '0.15', '2': '0.15'}",,['trim'],['runJS0000740trim']
runJS0000741,monomer,"{'1': '0.15', '2': '0.2'}",,['trim'],['runJS0000741trim']
runJS0000742,monomer,"{'1': '0.15', '2': '0.25'}",,['trim'],['runJS0000742trim']
runJS0000743,monomer,"{'1': '0.15', '2': '0.3'}",,['trim'],['runJS0000743trim']
runJS0000744,monomer,"{'1': '0.15', '2': '0.35'}",,['trim'],['runJS0000744trim']
runJS0000745,monomer,"{'1': '0.15', '2': '0.4'}",,['trim'],['runJS0000745trim']
runJS0000746,monomer,"{'1': '0.15', '2': '0.45'}",,['trim'],['runJS0000746trim']
runJS0000747,monomer,"{'1': '0.15', '2': '0.5'}",,['trim'],['runJS0000747trim']
runJS0000748,monomer,"{'1': '0.15', '2': '0.55'}",,['trim'],['runJS0000748trim']
runJS0000749,monomer,"{'1': '0.15', '2': '0.6'}",,['trim'],['runJS0000749trim']
runJS0000750,monomer,"{'1': '0.15', '2': '0.65'}",,['trim'],['runJS0000750trim']
runJS0000751,monomer,"{'1': '0.15', '2': '0.7'}",,['trim'],['runJS0000751trim']
runJS0000752,monomer,"{'1': '0.15', '2': '0.75'}",,['trim'],['runJS0000752trim']
runJS0000753,monomer,"{'1': '0.15', '2': '0.8'}",,['trim'],['runJS0000753trim']
runJS0000754,monomer,"{'1': '0.15', '2': '0.85'}",,['trim'],['runJS0000754trim']
runJS0000755,monomer,"{'1': '0.15', '2': '0.9'}",,['trim'],['runJS0000755trim']
runJS0000756,monomer,"{'1': '0.2', '2': '0'}",,['trim'],['runJS0000756trim']
runJS0000757,monomer,"{'1': '0.2', '2': '0.05'}",,['trim'],['runJS0000757trim']
runJS0000758,monomer,"{'1': '0.2', '2': '0.1'}",,['trim'],['runJS0000758trim']
runJS0000759,monomer,"{'1': '0.2', '2': '0.15'}",,['trim'],['runJS0000759trim']
runJS0000760,monomer,"{'1': '0.2', '2': '0.2'}",,['trim'],['runJS0000760trim']
runJS0000761,monomer,"{'1': '0.2', '2': '0.25'}",,['trim'],['runJS0000761trim']
runJS0000762,monomer,"{'1': '0.2', '2': '0.3'}",,['trim'],['runJS0000762trim']
runJS0000763,monomer,"{'1': '0.2', '2': '0.35'}",,['trim'],['runJS0000763trim']
runJS0000764,monomer,"{'1': '0.2', '2': '0.4'}",,['trim'],['runJS0000764trim']
runJS0000765,monomer,"{'1': '0.2', '2': '0.45'}",,['trim'],['runJS0000765trim']
runJS0000766,monomer,"{'1': '0.2', '2': '0.5'}",,['trim'],['runJS0000766trim']
runJS0000767,monomer,"{'1': '0.2', '2': '0.55'}",,['trim'],['runJS0000767trim']
runJS0000768,monomer,"{'1': '0.2', '2': '0.6'}",,['trim'],['runJS0000768trim']
runJS0000769,monomer,"{'1': '0.2', '2': '0.65'}",,['trim'],['runJS0000769trim']
runJS0000770,monomer,"{'1': '0.2', '2': '0.7'}",,['trim'],['runJS0000770trim']
runJS0000771,monomer,"{'1': '0.2', '2': '0.75'}",,['trim'],['runJS0000771trim']
runJS0000772,monomer,"{'1': '0.2', '2': '0.8'}",,['trim'],['runJS0000772trim']
runJS0000773,monomer,"{'1': '0.2', '2': '0.85'}",,['trim'],['runJS0000773trim']
runJS0000774,monomer,"{'1': '0.2', '2': '0.9'}",,['trim'],['runJS0000774trim']
runJS0000775,monomer,"{'1': '0.25', '2': '0'}",,['trim'],['runJS0000775trim']
runJS0000776,monomer,"{'1': '0.25', '2': '0.05'}",,['trim'],['runJS0000776trim']
runJS0000777,monomer,"{'1': '0.25', '2': '0.1'}",,['trim'],['runJS0000777trim']
runJS0000778,monomer,"{'1': '0.25', '2': '0.15'}",,['trim'],['runJS0000778trim']
runJS0000779,monomer,"{'1': '0.25', '2': '0.2'}",,['trim'],['runJS0000779trim']
runJS0000780,monomer,"{'1': '0.25', '2': '0.25'}",,['trim'],['runJS0000780trim']
runJS0000781,monomer,"{'1': '0.25', '2': '0.3'}",,['trim'],['runJS0000781trim']
runJS0000782,monomer,"{'1': '0.25', '2': '0.35'}",,['trim'],['runJS0000782trim']
runJS0000783,monomer,"{'1': '0.25', '2': '0.4'}",,['trim'],['runJS0000783trim']
runJS0000784,monomer,"{'1': '0.25', '2': '0.45'}",,['trim'],['runJS0000784trim']
runJS0000785,monomer,"{'1': '0.25', '2': '0.5'}",,['trim'],['runJS0000785trim']
runJS0000786,monomer,"{'1': '0.25', '2': '0.55'}",,['trim'],['runJS0000786trim']
runJS0000787,monomer,"{'1': '0.25', '2': '0.6'}",,['trim'],['runJS0000787trim']
runJS0000788,monomer,"{'1': '0.25', '2': '0.65'}",,['trim'],['runJS0000788trim']
runJS0000789,monomer,"{'1': '0.25', '2': '0.7'}",,['trim'],['runJS0000789trim']
runJS0000790,monomer,"{'1': '0.25', '2': '0.75'}",,['trim'],['runJS0000790trim']
runJS0000791,monomer,"{'1': '0.25', '2': '0.8'}",,['trim'],['runJS0000791trim']
runJS0000792,monomer,"{'1': '0.25', '2': '0.85'}",,['trim'],['runJS0000792trim']
runJS0000793,monomer,"{'1': '0.25', '2': '0.9'}",,['trim'],['runJS0000793trim']
runJS0000794,monomer,"{'1': '0.3', '2': '0'}",,['trim'],['runJS0000794trim']
runJS0000795,monomer,"{'1': '0.3', '2': '0.05'}",,['trim'],['runJS0000795trim']
runJS0000796,monomer,"{'1': '0.3', '2': '0.1'}",,['trim'],['runJS0000796trim']
runJS0000797,monomer,"{'1': '0.3', '2': '0.15'}",,['trim'],['runJS0000797trim']
runJS0000798,monomer,"{'1': '0.3', '2': '0.2'}",,['trim'],['runJS0000798trim']
runJS0000799,monomer,"{'1': '0.3', '2': '0.25'}",,['trim'],['runJS0000799trim']
runJS0000800,monomer,"{'1': '0.3', '2': '0.3'}",,['trim'],['runJS0000800trim']
runJS0000801,monomer,"{'1': '0.3', '2': '0.35'}",,['trim'],['runJS0000801trim']
runJS0000802,monomer,"{'1': '0.3', '2': '0.4'}",,['trim'],['runJS0000802trim']
runJS0000803,monomer,"{'1': '0.3', '2': '0.45'}",,['trim'],['runJS0000803trim']
runJS0000804,monomer,"{'1': '0.3', '2': '0.5'}",,['trim'],['runJS0000804trim']
runJS0000805,monomer,"{'1': '0.3', '2': '0.55'}",,['trim'],['runJS0000805trim']
runJS0000806,monomer,"{'1': '0.3', '2': '0.6'}",,['trim'],['runJS0000806trim']
runJS0000807,monomer,"{'1': '0.3', '2': '0.65'}",,['trim'],['runJS0000807trim']
runJS0000808,monomer,"{'1': '0.3', '2': '0.7'}",,['trim'],['runJS0000808trim']
runJS0000809,monomer,"{'1': '0.3', '2': '0.75'}",,['trim'],['runJS0000809trim']
runJS0000810,monomer,"{'1': '0.3', '2': '0.8'}",,['trim'],['runJS0000810trim']
runJS0000811,monomer,"{'1': '0.3', '2': '0.85'}",,['trim'],['runJS0000811trim']
runJS0000812,monomer,"{'1': '0.3', '2': '0.9'}",,['trim'],['runJS0000812trim']
runJS0000813,monomer,"{'1': '0.35', '2': '0'}",,['trim'],['runJS0000813trim']
runJS0000814,monomer,"{'1': '0.35', '2': '0.05'}",,['trim'],['runJS0000814trim']
runJS0000815,monomer,"{'1': '0.35', '2': '0.1'}",,['trim'],['runJS0000815trim']
runJS0000816,monomer,"{'1': '0.35', '2': '0.15'}",,['trim'],['runJS0000816trim']
runJS0000817,monomer,"{'1': '0.35', '2': '0.2'}",,['trim'],['runJS0000817trim']
runJS0000818,monomer,"{'1': '0.35', '2': '0.25'}",,['trim'],['runJS0000818trim']
runJS0000819,monomer,"{'1': '0.35', '2': '0.3'}",,['trim'],['runJS0000819trim']
runJS0000820,monomer,"{'1': '0.35', '2': '0.35'}",,['trim'],['runJS0000820trim']
runJS0000821,monomer,"{'1': '0.35', '2': '0.4'}",,['trim'],['runJS0000821trim']
runJS0000822,monomer,"{'1': '0.35', '2': '0.45'}",,['trim'],['runJS0000822trim']
runJS0000823,monomer,"{'1': '0.35', '2': '0.5'}",,['trim'],['runJS0000823trim']
runJS0000824,monomer,"{'1': '0.35', '2': '0.55'}",,['trim'],['runJS0000824trim']
runJS0000825,monomer,"{'1': '0.35', '2': '0.6'}",,['trim'],['runJS0000825trim']
runJS0000826,monomer,"{'1': '0.35', '2': '0.65'}",,['trim'],['runJS0000826trim']
runJS0000827,monomer,"{'1': '0.35', '2': '0.7'}",,['trim'],['runJS0000827trim']
runJS0000828,monomer,"{'1': '0.35', '2': '0.75'}",,['trim'],['runJS0000828trim']
runJS0000829,monomer,"{'1': '0.35', '2': '0.8'}",,['trim'],['runJS0000829trim']
runJS0000830,monomer,"{'1': '0.35', '2': '0.85'}",,['trim'],['runJS0000830trim']
runJS0000831,monomer,"{'1': '0.35', '2': '0.9'}",,['trim'],['runJS0000831trim']
runJS0000832,monomer,"{'1': '0.4', '2': '0'}",,['trim'],['runJS0000832trim']
runJS0000833,monomer,"{'1': '0.4', '2': '0.05'}",,['trim'],['runJS0000833trim']
runJS0000834,monomer,"{'1': '0.4', '2': '0.1'}",,['trim'],['runJS0000834trim']
runJS0000835,monomer,"{'1': '0.4', '2': '0.15'}",,['trim'],['runJS0000835trim']
runJS0000836,monomer,"{'1': '0.4', '2': '0.2'}",,['trim'],['runJS0000836trim']
runJS0000837,monomer,"{'1': '0.4', '2': '0.25'}",,['trim'],['runJS0000837trim']
runJS0000838,monomer,"{'1': '0.4', '2': '0.3'}",,['trim'],['runJS0000838trim']
runJS0000839,monomer,"{'1': '0.4', '2': '0.35'}",,['trim'],['runJS0000839trim']
runJS0000840,monomer,"{'1': '0.4', '2': '0.4'}",,['trim'],['runJS0000840trim']
runJS0000841,monomer,"{'1': '0.4', '2': '0.45'}",,['trim'],['runJS0000841trim']
runJS0000842,monomer,"{'1': '0.4', '2': '0.5'}",,['trim'],['runJS0000842trim']
runJS0000843,monomer,"{'1': '0.4', '2': '0.55'}",,['trim'],['runJS0000843trim']
runJS0000844,monomer,"{'1': '0.4', '2': '0.6'}",,['trim'],['runJS0000844trim']
runJS0000845,monomer,"{'1': '0.4', '2': '0.65'}",,['trim'],['runJS0000845trim']
runJS0000846,monomer,"{'1': '0.4', '2': '0.7'}",,['trim'],['runJS0000846trim']
runJS0000847,monomer,"{'1': '0.4', '2': '0.75'}",,['trim'],['runJS0000847trim']
runJS0000848,monomer,"{'1': '0.4', '2': '0.8'}",,['trim'],['runJS0000848trim']
runJS0000849,monomer,"{'1': '0.4', '2': '0.85'}",,['trim'],['runJS0000849trim']
runJS0000850,monomer,"{'1': '0.4', '2': '0.9'}",,['trim'],['runJS0000850trim']
runJS0000851,monomer,"{'1': '0.45', '2': '0'}",,['trim'],['runJS0000851trim']
runJS0000852,monomer,"{'1': '0.45', '2': '0.05'}",,['trim'],['runJS0000852trim']
runJS0000853,monomer,"{'1': '0.45', '2': '0.1'}",,['trim'],['runJS0000853trim']
runJS0000854,monomer,"{'1': '0.45', '2': '0.15'}",,['trim'],['runJS0000854trim']
runJS0000855,monomer,"{'1': '0.45', '2': '0.2'}",,['trim'],['runJS0000855trim']
runJS0000856,monomer,"{'1': '0.45', '2': '0.25'}",,['trim'],['runJS0000856trim']
runJS0000857,monomer,"{'1': '0.45', '2': '0.3'}",,['trim'],['runJS0000857trim']
runJS0000858,monomer,"{'1': '0.45', '2': '0.35'}",,['trim'],['runJS0000858trim']
runJS0000859,monomer,"{'1': '0.45', '2': '0.4'}",,['trim'],['runJS0000859trim']
runJS0000860,monomer,"{'1': '0.45', '2': '0.45'}",,['trim'],['runJS0000860trim']
runJS0000861,monomer,"{'1': '0.45', '2': '0.5'}",,['trim'],['runJS0000861trim']
runJS0000862,monomer,"{'1': '0.45', '2': '0.55'}",,['trim'],['runJS0000862trim']
runJS0000863,monomer,"{'1': '0.45', '2': '0.6'}",,['trim'],['runJS0000863trim']
runJS0000864,monomer,"{'1': '0.45', '2': '0.65'}",,['trim'],['runJS0000864trim']
runJS0000865,monomer,"{'1': '0.45', '2': '0.7'}",,['trim'],['runJS0000865trim']
runJS0000866,monomer,"{'1': '0.45', '2': '0.75'}",,['trim'],['runJS0000866trim']
runJS0000867,monomer,"{'1': '0.45', '2': '0.8'}",,['trim'],['runJS0000867trim']
runJS0000868,monomer,"{'1': '0.45', '2': '0.85'}",,['trim'],['runJS0000868trim']
runJS0000869,monomer,"{'1': '0.45', '2': '0.9'}",,['trim'],['runJS0000869trim']
runJS0000870,monomer,"{'1': '0.5', '2': '0'}",,['trim'],['runJS0000870trim']
runJS0000871,monomer,"{'1': '0.5', '2': '0.05'}",,['trim'],['runJS0000871trim']
runJS0000872,monomer,"{'1': '0.5', '2': '0.1'}",,['trim'],['runJS0000872trim']
runJS0000873,monomer,"{'1': '0.5', '2': '0.15'}",,['trim'],['runJS0000873trim']
runJS0000874,monomer,"{'1': '0.5', '2': '0.2'}",,['trim'],['runJS0000874trim']
runJS0000875,monomer,"{'1': '0.5', '2': '0.25'}",,['trim'],['runJS0000875trim']
runJS0000876,monomer,"{'1': '0.5', '2': '0.3'}",,['trim'],['runJS0000876trim']
runJS0000877,monomer,"{'1': '0.5', '2': '0.35'}",,['trim'],['runJS0000877trim']
runJS0000878,monomer,"{'1': '0.5', '2': '0.4'}",,['trim'],['runJS0000878trim']
runJS0000879,monomer,"{'1': '0.5', '2': '0.45'}",,['trim'],['runJS0000879trim']
runJS0000880,monomer,"{'1': '0.5', '2': '0.5'}",,['trim'],['runJS0000880trim']
runJS0000881,monomer,"{'1': '0.5', '2': '0.55'}",,['trim'],['runJS0000881trim']
runJS0000882,monomer,"{'1': '0.5', '2': '0.6'}",,['trim'],['runJS0000882trim']
runJS0000883,monomer,"{'1': '0.5', '2': '0.65'}",,['trim'],['runJS0000883trim']
runJS0000884,monomer,"{'1': '0.5', '2': '0.7'}",,['trim'],['runJS0000884trim']
runJS0000885,monomer,"{'1': '0.5', '2': '0.75'}",,['trim'],['runJS0000885trim']
runJS0000886,monomer,"{'1': '0.5', '2': '0.8'}",,['trim'],['runJS0000886trim']
runJS0000887,monomer,"{'1': '0.5', '2': '0.85'}",,['trim'],['runJS0000887trim']
runJS0000888,monomer,"{'1': '0.5', '2': '0.9'}",,['trim'],['runJS0000888trim']
runJS0000889,monomer,"{'1': '0.55', '2': '0'}",,['trim'],['runJS0000889trim']
runJS0000890,monomer,"{'1': '0.55', '2': '0.05'}",,['trim'],['runJS0000890trim']
runJS0000891,monomer,"{'1': '0.55', '2': '0.1'}",,['trim'],['runJS0000891trim']
runJS0000892,monomer,"{'1': '0.55', '2': '0.15'}",,['trim'],['runJS0000892trim']
runJS0000893,monomer,"{'1': '0.55', '2': '0.2'}",,['trim'],['runJS0000893trim']
runJS0000894,monomer,"{'1': '0.55', '2': '0.25'}",,['trim'],['runJS0000894trim']
runJS0000895,monomer,"{'1': '0.55', '2': '0.3'}",,['trim'],['runJS0000895trim']
runJS0000896,monomer,"{'1': '0.55', '2': '0.35'}",,['trim'],['runJS0000896trim']
runJS0000897,monomer,"{'1': '0.55', '2': '0.4'}",,['trim'],['runJS0000897trim']
runJS0000898,monomer,"{'1': '0.55', '2': '0.45'}",,['trim'],['runJS0000898trim']
runJS0000899,monomer,"{'1': '0.55', '2': '0.5'}",,['trim'],['runJS0000899trim']
runJS0000900,monomer,"{'1': '0.55', '2': '0.55'}",,['trim'],['runJS0000900trim']
runJS0000901,monomer,"{'1': '0.55', '2': '0.6'}",,['trim'],['runJS0000901trim']
runJS0000902,monomer,"{'1': '0.55', '2': '0.65'}",,['trim'],['runJS0000902trim']
runJS0000903,monomer,"{'1': '0.55', '2': '0.7'}",,['trim'],['runJS0000903trim']
runJS0000904,monomer,"{'1': '0.55', '2': '0.75'}",,['trim'],['runJS0000904trim']
runJS0000905,monomer,"{'1': '0.55', '2': '0.8'}",,['trim'],['runJS0000905trim']
runJS0000906,monomer,"{'1': '0.55', '2': '0.85'}",,['trim'],['runJS0000906trim']
runJS0000907,monomer,"{'1': '0.55', '2': '0.9'}",,['trim'],['runJS0000907trim']
runJS0000908,monomer,"{'1': '0.6', '2': '0'}",,['trim'],['runJS0000908trim']
runJS0000909,monomer,"{'1': '0.6', '2': '0.05'}",,['trim'],['runJS0000909trim']
runJS0000910,monomer,"{'1': '0.6', '2': '0.1'}",,['trim'],['runJS0000910trim']
runJS0000911,monomer,"{'1': '0.6', '2': '0.15'}",,['trim'],['runJS0000911trim']
runJS0000912,monomer,"{'1': '0.6', '2': '0.2'}",,['trim'],['runJS0000912trim']
runJS0000913,monomer,"{'1': '0.6', '2': '0.25'}",,['trim'],['runJS0000913trim']
runJS0000914,monomer,"{'1': '0.6', '2': '0.3'}",,['trim'],['runJS0000914trim']
runJS0000915,monomer,"{'1': '0.6', '2': '0.35'}",,['trim'],['runJS0000915trim']
runJS0000916,monomer,"{'1': '0.6', '2': '0.4'}",,['trim'],['runJS0000916trim']
runJS0000917,monomer,"{'1': '0.6', '2': '0.45'}",,['trim'],['runJS0000917trim']
runJS0000918,monomer,"{'1': '0.6', '2': '0.5'}",,['trim'],['runJS0000918trim']
runJS0000919,monomer,"{'1': '0.6', '2': '0.55'}",,['trim'],['runJS0000919trim']
runJS0000920,monomer,"{'1': '0.6', '2': '0.6'}",,['trim'],['runJS0000920trim']
runJS0000921,monomer,"{'1': '0.6', '2': '0.65'}",,['trim'],['runJS0000921trim']
runJS0000922,monomer,"{'1': '0.6', '2': '0.7'}",,['trim'],['runJS0000922trim']
runJS0000923,monomer,"{'1': '0.6', '2': '0.75'}",,['trim'],['runJS0000923trim']
runJS0000924,monomer,"{'1': '0.6', '2': '0.8'}",,['trim'],['runJS0000924trim']
runJS0000925,monomer,"{'1': '0.6', '2': '0.85'}",,['trim'],['runJS0000925trim']
runJS0000926,monomer,"{'1': '0.6', '2': '0.9'}",,['trim'],['runJS0000926trim']
runJS0000927,monomer,"{'1': '0.65', '2': '0'}",,['trim'],['runJS0000927trim']
runJS0000928,monomer,"{'1': '0.65', '2': '0.05'}",,['trim'],['runJS0000928trim']
runJS0000929,monomer,"{'1': '0.65', '2': '0.1'}",,['trim'],['runJS0000929trim']
runJS0000930,monomer,"{'1': '0.65', '2': '0.15'}",,['trim'],['runJS0000930trim']
runJS0000931,monomer,"{'1': '0.65', '2': '0.2'}",,['trim'],['runJS0000931trim']
runJS0000932,monomer,"{'1': '0.65', '2': '0.25'}",,['trim'],['runJS0000932trim']
runJS0000933,monomer,"{'1': '0.65', '2': '0.3'}",,['trim'],['runJS0000933trim']
runJS0000934,monomer,"{'1': '0.65', '2': '0.35'}",,['trim'],['runJS0000934trim']
runJS0000935,monomer,"{'1': '0.65', '2': '0.4'}",,['trim'],['runJS0000935trim']
runJS0000936,monomer,"{'1': '0.65', '2': '0.45'}",,['trim'],['runJS0000936trim']
runJS0000937,monomer,"{'1': '0.65', '2': '0.5'}",,['trim'],['runJS0000937trim']
runJS0000938,monomer,"{'1': '0.65', '2': '0.55'}",,['trim'],['runJS0000938trim']
runJS0000939,monomer,"{'1': '0.65', '2': '0.6'}",,['trim'],['runJS0000939trim']
runJS0000940,monomer,"{'1': '0.65', '2': '0.65'}",,['trim'],['runJS0000940trim']
runJS0000941,monomer,"{'1': '0.65', '2': '0.7'}",,['trim'],['runJS0000941trim']
runJS0000942,monomer,"{'1': '0.65', '2': '0.75'}",,['trim'],['runJS0000942trim']
runJS0000943,monomer,"{'1': '0.65', '2': '0.8'}",,['trim'],['runJS0000943trim']
runJS0000944,monomer,"{'1': '0.65', '2': '0.85'}",,['trim'],['runJS0000944trim']
runJS0000945,monomer,"{'1': '0.65', '2': '0.9'}",,['trim'],['runJS0000945trim']
runJS0000946,monomer,"{'1': '0.7', '2': '0'}",,['trim'],['runJS0000946trim']
runJS0000947,monomer,"{'1': '0.7', '2': '0.05'}",,['trim'],['runJS0000947trim']
runJS0000948,monomer,"{'1': '0.7', '2': '0.1'}",,['trim'],['runJS0000948trim']
runJS0000949,monomer,"{'1': '0.7', '2': '0.15'}",,['trim'],['runJS0000949trim']
runJS0000950,monomer,"{'1': '0.7', '2': '0.2'}",,['trim'],['runJS0000950trim']
runJS0000951,monomer,"{'1': '0.7', '2': '0.25'}",,['trim'],['runJS0000951trim']
runJS0000952,monomer,"{'1': '0.7', '2': '0.3'}",,['trim'],['runJS0000952trim']
runJS0000953,monomer,"{'1': '0.7', '2': '0.35'}",,['trim'],['runJS0000953trim']
runJS0000954,monomer,"{'1': '0.7', '2': '0.4'}",,['trim'],['runJS0000954trim']
runJS0000955,monomer,"{'1': '0.7', '2': '0.45'}",,['trim'],['runJS0000955trim']
runJS0000956,monomer,"{'1': '0.7', '2': '0.5'}",,['trim'],['runJS0000956trim']
runJS0000957,monomer,"{'1': '0.7', '2': '0.55'}",,['trim'],['runJS0000957trim']
runJS0000958,monomer,"{'1': '0.7', '2': '0.6'}",,['trim'],['runJS0000958trim']
runJS0000959,monomer,"{'1': '0.7', '2': '0.65'}",,['trim'],['runJS0000959trim']
runJS0000960,monomer,"{'1': '0.7', '2': '0.7'}",,['trim'],['runJS0000960trim']
runJS0000961,monomer,"{'1': '0.7', '2': '0.75'}",,['trim'],['runJS0000961trim']
runJS0000962,monomer,"{'1': '0.7', '2': '0.8'}",,['trim'],['runJS0000962trim']
runJS0000963,monomer,"{'1': '0.7', '2': '0.85'}",,['trim'],['runJS0000963trim']
runJS0000964,monomer,"{'1': '0.7', '2': '0.9'}",,['trim'],['runJS0000964trim']
runJS0000965,monomer,"{'1': '0.75', '2': '0'}",,['trim'],['runJS0000965trim']
runJS0000966,monomer,"{'1': '0.75', '2': '0.05'}",,['trim'],['runJS0000966trim']
runJS0000967,monomer,"{'1': '0.75', '2': '0.1'}",,['trim'],['runJS0000967trim']
runJS0000968,monomer,"{'1': '0.75', '2': '0.15'}",,['trim'],['runJS0000968trim']
runJS0000969,monomer,"{'1': '0.75', '2': '0.2'}",,['trim'],['runJS0000969trim']
runJS0000970,monomer,"{'1': '0.75', '2': '0.25'}",,['trim'],['runJS0000970trim']
runJS0000971,monomer,"{'1': '0.75', '2': '0.3'}",,['trim'],['runJS0000971trim']
runJS0000972,monomer,"{'1': '0.75', '2': '0.35'}",,['trim'],['runJS0000972trim']
runJS0000973,monomer,"{'1': '0.75', '2': '0.4'}",,['trim'],['runJS0000973trim']
runJS0000974,monomer,"{'1': '0.75', '2': '0.45'}",,['trim'],['runJS0000974trim']
runJS0000975,monomer,"{'1': '0.75', '2': '0.5'}",,['trim'],['runJS0000975trim']
runJS0000976,monomer,"{'1': '0.75', '2': '0.55'}",,['trim'],['runJS0000976trim']
runJS0000977,monomer,"{'1': '0.75', '2': '0.6'}",,['trim'],['runJS0000977trim']
runJS0000978,monomer,"{'1': '0.75', '2': '0.65'}",,['trim'],['runJS0000978trim']
runJS0000979,monomer,"{'1': '0.75', '2': '0.7'}",,['trim'],['runJS0000979trim']
runJS0000980,monomer,"{'1': '0.75', '2': '0.75'}",,['trim'],['runJS0000980trim']
runJS0000981,monomer,"{'1': '0.75', '2': '0.8'}",,['trim'],['runJS0000981trim']
runJS0000982,monomer,"{'1': '0.75', '2': '0.85'}",,['trim'],['runJS0000982trim']
runJS0000983,monomer,"{'1': '0.75', '2': '0.9'}",,['trim'],['runJS0000983trim']
runJS0000984,monomer,"{'1': '0.8', '2': '0'}",,['trim'],['runJS0000984trim']
runJS0000985,monomer,"{'1': '0.8', '2': '0.05'}",,['trim'],['runJS0000985trim']
runJS0000986,monomer,"{'1': '0.8', '2': '0.1'}",,['trim'],['runJS0000986trim']
runJS0000987,monomer,"{'1': '0.8', '2': '0.15'}",,['trim'],['runJS0000987trim']
runJS0000988,monomer,"{'1': '0.8', '2': '0.2'}",,['trim'],['runJS0000988trim']
runJS0000989,monomer,"{'1': '0.8', '2': '0.25'}",,['trim'],['runJS0000989trim']
runJS0000990,monomer,"{'1': '0.8', '2': '0.3'}",,['trim'],['runJS0000990trim']
runJS0000991,monomer,"{'1': '0.8', '2': '0.35'}",,['trim'],['runJS0000991trim']
runJS0000992,monomer,"{'1': '0.8', '2': '0.4'}",,['trim'],['runJS0000992trim']
runJS0000993,monomer,"{'1': '0.8', '2': '0.45'}",,['trim'],['runJS0000993trim']
runJS0000994,monomer,"{'1': '0.8', '2': '0.5'}",,['trim'],['runJS0000994trim']
runJS0000995,monomer,"{'1': '0.8', '2': '0.55'}",,['trim'],['runJS0000995trim']
runJS0000996,monomer,"{'1': '0.8', '2': '0.6'}",,['trim'],['runJS0000996trim']
runJS0000997,monomer,"{'1': '0.8', '2': '0.65'}",,['trim'],['runJS0000997trim']
runJS0000998,monomer,"{'1': '0.8', '2': '0.7'}",,['trim'],['runJS0000998trim']
